source_file,segment_id,start,end,duration_seconds,speaker,text,n_text_words,n_aligned_words,n_words_with_speaker
CyrusOne/COB_20260323_Imported.mp3,0,0.945,11.469,10.524,SPEAKER_76,"We ask of you this evening to help us in our decisions for the community, for all of our people, based on the sound advice and information given to us, for a safe and economically viable county.",37,37,37
CyrusOne/COB_20260323_Imported.mp3,1,12.169,16.31,4.140999999999998,SPEAKER_76,We know that you will guide us for the betterment of all if only we ask of you.,18,18,18
CyrusOne/COB_20260323_Imported.mp3,2,16.751,20.232,3.480999999999998,SPEAKER_76,"We humbly now ask and do so in your name, Jesus.",11,11,11
CyrusOne/COB_20260323_Imported.mp3,3,20.252,20.352,0.10000000000000142,SPEAKER_76,Amen.,1,1,1
CyrusOne/COB_20260323_Imported.mp3,4,20.372,29.195,8.823,SPEAKER_11,"Mr. Chairman, before each group of us talking to Township was supposed to be here tonight,",16,16,15
CyrusOne/COB_20260323_Imported.mp3,5,29.619,32.1,2.4810000000000016,SPEAKER_68,but our track and field did better than what we were expecting.,12,12,12
CyrusOne/COB_20260323_Imported.mp3,6,32.44,34.902,2.4620000000000033,SPEAKER_68,"So they are in meets tonight, so they won't be here.",11,11,11
CyrusOne/COB_20260323_Imported.mp3,7,35.242,36.402,1.1600000000000037,SPEAKER_68,So I'm going to substitute.,5,5,5
CyrusOne/COB_20260323_Imported.mp3,8,36.422,37.583,1.1610000000000014,SPEAKER_28,So you have to give the pledge.,7,7,7
CyrusOne/COB_20260323_Imported.mp3,9,37.823,39.664,1.841000000000001,SPEAKER_68,"Yeah, apparently I'm the slowest runner.",6,6,6
CyrusOne/COB_20260323_Imported.mp3,10,39.804,40.044,0.23999999999999488,SPEAKER_68,Yes.,1,1,1
CyrusOne/COB_20260323_Imported.mp3,11,41.685,54.932,13.247,SPEAKER_68,"Okay, I pledge allegiance to the flag of the United States of America, and to the republic with which it stands, one nation, under God, indivisible, with liberty and justice for all.",32,32,32
CyrusOne/COB_20260323_Imported.mp3,12,56.432,57.373,0.9409999999999954,SPEAKER_28,The clerk will call the roll.,6,6,6
CyrusOne/COB_20260323_Imported.mp3,13,72.872,73.673,0.8010000000000019,SPEAKER_66,The clerk will call...,4,4,4
CyrusOne/COB_20260323_Imported.mp3,14,74.507,74.947,0.4399999999999977,SPEAKER_69,There we go.,3,3,3
CyrusOne/COB_20260323_Imported.mp3,15,75.167,75.547,0.37999999999999545,SPEAKER_69,Thank you.,2,2,2
CyrusOne/COB_20260323_Imported.mp3,16,76.488,76.648,0.1599999999999966,SPEAKER_69,Yep.,1,1,1
CyrusOne/COB_20260323_Imported.mp3,17,77.108,77.288,0.1799999999999926,SPEAKER_69,Ayers.,1,1,1
CyrusOne/COB_20260323_Imported.mp3,18,77.308,77.428,0.11999999999999034,SPEAKER_69,Here.,1,1,1
CyrusOne/COB_20260323_Imported.mp3,19,78.869,79.089,0.21999999999999886,SPEAKER_69,Canman.,1,1,1
CyrusOne/COB_20260323_Imported.mp3,20,79.109,79.229,0.12000000000000455,SPEAKER_69,Right.,1,1,1
CyrusOne/COB_20260323_Imported.mp3,21,80.87,81.13,0.2599999999999909,SPEAKER_69,Constant.,1,1,1
CyrusOne/COB_20260323_Imported.mp3,22,81.15,81.31,0.1599999999999966,SPEAKER_69,Here.,1,1,1
CyrusOne/COB_20260323_Imported.mp3,23,82.21,82.49,0.28000000000000114,SPEAKER_69,Dasko.,1,1,1
CyrusOne/COB_20260323_Imported.mp3,24,82.51,82.71,0.19999999999998863,SPEAKER_69,Here.,1,1,1
CyrusOne/COB_20260323_Imported.mp3,25,83.471,83.651,0.1799999999999926,SPEAKER_69,Diener.,1,1,1
CyrusOne/COB_20260323_Imported.mp3,26,83.671,83.811,0.14000000000000057,SPEAKER_69,Here.,1,1,1
CyrusOne/COB_20260323_Imported.mp3,27,84.611,85.171,0.5600000000000023,SPEAKER_69,Delgiorno.,1,1,1
CyrusOne/COB_20260323_Imported.mp3,28,85.191,85.331,0.14000000000000057,SPEAKER_69,Here.,1,1,1
CyrusOne/COB_20260323_Imported.mp3,29,86.172,86.492,0.3200000000000074,SPEAKER_69,Deppi.,1,1,1
CyrusOne/COB_20260323_Imported.mp3,30,87.432,87.532,0.09999999999999432,SPEAKER_69,Here.,1,1,1
CyrusOne/COB_20260323_Imported.mp3,31,87.552,88.073,0.5209999999999866,SPEAKER_69,Lucas Williams.,2,2,2
CyrusOne/COB_20260323_Imported.mp3,32,88.993,89.173,0.18000000000000682,SPEAKER_69,Here.,1,1,1
CyrusOne/COB_20260323_Imported.mp3,33,89.193,89.373,0.18000000000000682,SPEAKER_69,Forsyth.,1,1,1
CyrusOne/COB_20260323_Imported.mp3,34,89.413,89.513,0.10000000000000853,SPEAKER_69,Here.,1,1,1
CyrusOne/COB_20260323_Imported.mp3,35,90.514,90.774,0.2600000000000051,SPEAKER_69,Frazee.,1,1,1
CyrusOne/COB_20260323_Imported.mp3,36,90.814,90.934,0.12000000000000455,SPEAKER_69,Here.,1,1,1
CyrusOne/COB_20260323_Imported.mp3,37,91.754,92.214,0.45999999999999375,SPEAKER_69,Fulgenzi.,1,1,1
CyrusOne/COB_20260323_Imported.mp3,38,92.234,92.334,0.10000000000000853,SPEAKER_69,Here.,1,1,1
CyrusOne/COB_20260323_Imported.mp3,39,93.195,93.395,0.20000000000000284,SPEAKER_69,Guyton.,1,1,1
CyrusOne/COB_20260323_Imported.mp3,40,93.415,93.555,0.14000000000000057,SPEAKER_69,Here.,1,1,1
CyrusOne/COB_20260323_Imported.mp3,41,94.455,94.635,0.18000000000000682,SPEAKER_69,Hall.,1,1,1
CyrusOne/COB_20260323_Imported.mp3,42,94.655,94.755,0.09999999999999432,SPEAKER_69,Here.,1,1,1
CyrusOne/COB_20260323_Imported.mp3,43,95.996,96.316,0.3200000000000074,SPEAKER_69,Crell.,1,1,1
CyrusOne/COB_20260323_Imported.mp3,44,97.737,97.997,0.2600000000000051,SPEAKER_68,Here.,1,1,1
CyrusOne/COB_20260323_Imported.mp3,45,99.597,99.857,0.2600000000000051,SPEAKER_69,All right.,2,2,2
CyrusOne/COB_20260323_Imported.mp3,46,99.897,100.138,0.24099999999999966,SPEAKER_69,Take it.,2,2,2
CyrusOne/COB_20260323_Imported.mp3,47,100.158,100.578,0.4200000000000017,SPEAKER_69,He's on the phone.,4,4,4
CyrusOne/COB_20260323_Imported.mp3,48,100.718,101.258,0.539999999999992,SPEAKER_68,He's on the phone.,4,4,4
CyrusOne/COB_20260323_Imported.mp3,49,101.278,101.578,0.29999999999999716,SPEAKER_69,Got it.,2,2,2
CyrusOne/COB_20260323_Imported.mp3,50,102.138,102.399,0.2609999999999957,SPEAKER_68,Here.,1,1,1
CyrusOne/COB_20260323_Imported.mp3,51,102.739,103.059,0.3199999999999932,SPEAKER_69,Lathan.,1,1,1
CyrusOne/COB_20260323_Imported.mp3,52,103.219,103.459,0.2400000000000091,SPEAKER_68,Get it.,2,2,2
CyrusOne/COB_20260323_Imported.mp3,53,104.715,105.976,1.2609999999999957,SPEAKER_69,"Thank you, Mr.",3,3,3
CyrusOne/COB_20260323_Imported.mp3,54,105.996,106.296,0.30000000000001137,SPEAKER_69,Clerk.,1,1,1
CyrusOne/COB_20260323_Imported.mp3,55,107.457,121.946,14.489000000000004,SPEAKER_69,"One of your fellow board members, Kim Krell, has notified both the chair and the clerk",16,16,16
CyrusOne/COB_20260323_Imported.mp3,56,133.485,136.186,2.7009999999999934,SPEAKER_28,that he wishes to attend this meeting by telephone conference.,10,10,10
CyrusOne/COB_20260323_Imported.mp3,57,136.687,145.091,8.403999999999996,SPEAKER_28,"This is allowed under the Open Meetings Act if a quorum of this body is present, which it is, and if a majority of the board, at least 15 members, vote to allow it.",34,34,34
CyrusOne/COB_20260323_Imported.mp3,58,145.311,154.015,8.70399999999998,SPEAKER_28,Mr. Crell is prevented from physically attending this meeting for a cause recognized by the Open Meetings Act as one warranting participation via telephone conference.,25,25,25
CyrusOne/COB_20260323_Imported.mp3,59,154.542,159.823,5.281000000000006,SPEAKER_28,The Chair will now entertain a motion to allow Mr. Crowell to participate via telephone conference.,16,16,16
