source_file,segment_id,start,end,duration_seconds,speaker,text,n_text_words,n_aligned_words,n_words_with_speaker
CyrusOne/Cyrusone_Hearing_12032025.mp3,0,0.74,1.941,1.201,SPEAKER_12,THE BOARD WILL COME TO ORDER.,6,6,6
CyrusOne/Cyrusone_Hearing_12032025.mp3,1,3.301,5.102,1.8010000000000002,SPEAKER_12,INVOCATION BY MS. FULGENZI.,4,4,4
CyrusOne/Cyrusone_Hearing_12032025.mp3,2,5.982,7.662,1.6799999999999997,SPEAKER_12,PLEDGE OF ALLEGIANCE BY MR. CHUMMELIN.,6,6,6
CyrusOne/Cyrusone_Hearing_12032025.mp3,3,7.682,15.565,7.882999999999999,SPEAKER_16,"DEVON, FOLLOW ME OUT.",4,4,4
CyrusOne/Cyrusone_Hearing_12032025.mp3,4,15.605,17.245,1.6400000000000006,SPEAKER_41,PLEASE GUIDE US.,3,3,3
CyrusOne/Cyrusone_Hearing_12032025.mp3,5,17.746,23.287,5.541,SPEAKER_41,PLEASE HELP US TO SHOW OUR NEIGHBORS COMPASSION AND GRACE AND ALL THOSE THAT WE AGREE WITH OR DISAGREE WITH.,20,20,20
CyrusOne/Cyrusone_Hearing_12032025.mp3,6,24.028,28.589,4.561,SPEAKER_41,PLEASE HELP US ALL TO LISTEN AND TO LEARN TONIGHT SO THAT WE MAY MAKE THE BEST CHOICES FOR OUR COMMUNITY.,21,21,21
CyrusOne/Cyrusone_Hearing_12032025.mp3,7,30.087,35.011,4.924000000000003,SPEAKER_41,"And dear Lord, please bless everyone in this room and our community as we go into the holiday season.",19,19,19
CyrusOne/Cyrusone_Hearing_12032025.mp3,8,35.071,39.274,4.203000000000003,SPEAKER_41,"May everyone enjoy faith, family, and this season.",8,8,8
CyrusOne/Cyrusone_Hearing_12032025.mp3,9,39.754,39.934,0.17999999999999972,SPEAKER_41,Amen.,1,1,1
CyrusOne/Cyrusone_Hearing_12032025.mp3,10,39.954,55.225,15.271,SPEAKER_17,"I pledge allegiance to the flag of the United States of America and to the republic for which it stands, one nation, under God, indivisible, with liberty and justice for all.",31,31,31
CyrusOne/Cyrusone_Hearing_12032025.mp3,11,60.77,86.045,25.275,SPEAKER_12,an announcement to the public we will be closing the sign-up sheet speak tonight thirty minutes into the program so if you want to sign up to speak tonight please go outside there's a sign-up sheet the clerk will call the roll on this special hearing here's here canman canman excuse constant here desco,54,54,54
CyrusOne/Cyrusone_Hearing_12032025.mp3,12,89.2,89.68,0.480000000000004,SPEAKER_26,Excuse.,1,1,1
CyrusOne/Cyrusone_Hearing_12032025.mp3,13,90.401,90.561,0.1600000000000108,SPEAKER_26,Diener.,1,1,1
CyrusOne/Cyrusone_Hearing_12032025.mp3,14,90.581,90.701,0.11999999999999034,SPEAKER_26,Here.,1,1,1
